doi,language,method,method2,measurement,validation
10.1140/epjds/s13688-016-0072-6,en,sml,Supervised,const,validation attempt: discussion & demonstration
10.1140/epjds/s13688-016-0085-1,en,dct,Rule-based,senti,validation attempt: discussion & demonstration
10.1140/epjds/s13688-017-0111-y,en,lnk,Rule-based,theme,validation attempt: discussion
10.1140/epjds/s13688-017-0121-9,en,dct,Rule-based,senti,validation attempt: discussion & demonstration
10.1140/epjds/s13688-019-0190-z,en,sml,Supervised,const,validation attempt: discussion
10.1140/epjds/s13688-019-0193-9,en,dct,Rule-based,const,validation attempt: discussion & demonstration
10.1140/epjds/s13688-019-0193-9,en,sof,Rule-based,const,validation attempt: discussion & demonstration
10.1140/epjds/s13688-019-0219-3,en,dct,Rule-based,senti,no validation attempt
10.1140/epjds/s13688-020-00245-8,ru,sml,Supervised,theme,validation attempt: discussion
10.1177/0003122417733673,en,dct,Rule-based,const,validation attempt: discussion & demonstration
10.1177/0003122419877135,en,nlp,Rule-based,const,validation attempt: discussion & demonstration
10.1177/0038040720953218,en,dct,Rule-based,forma,validation attempt: discussion & demonstration
10.1177/0049124117729696,en,lda,Unsupervised,theme,validation attempt: discussion & demonstration
10.1177/0049124117729701,en,sml,Supervised,theme,validation attempt: discussion & demonstration
10.1177/0049124119882481,en,sof,Rule-based,forma,validation attempt: discussion & demonstration
10.1177/0049124119882481,en,sof,Rule-based,thing,validation attempt: discussion & demonstration
10.1177/0049124119882481,en,sna,Unsupervised,forma,validation attempt: discussion & demonstration
10.1177/0049124119882481,en,sna,Unsupervised,thing,validation attempt: discussion & demonstration
10.3982/ECTA16566,en,key,Rule-based,theme,validation attempt: discussion & demonstration
10.3982/ECTA16566,en,lda,Unsupervised,theme,validation attempt: discussion & demonstration
10.1080/1369118X.2015.1086013,cn,man,Manual,quali,NA
10.1080/1369118X.2015.1088049,ar,man,Manual,const,NA
10.1080/1369118X.2015.1088049,ar,man,Manual,pragm,NA
10.1080/1369118X.2015.1088881,cz,man,Manual,thing,NA
10.1080/1369118X.2015.1088881,cz,man,Manual,senti,NA
10.1080/1369118X.2015.1094113,en,man,Manual,pragm,NA
10.1080/1369118X.2015.1104372,cn,man,Manual,thing,NA
10.1080/1369118X.2015.1104372,cn,man,Manual,const,NA
10.1080/1369118X.2015.1104372,cn,man,Manual,theme,NA
10.1080/1369118X.2015.1104372,cn,man,Manual,frame,NA
10.1080/1369118X.2016.1142595,en,man,Manual,const,NA
10.1080/1369118X.2016.1142595,en,man,Manual,props,NA
10.1080/1369118X.2016.1142595,en,man,Manual,pragm,NA
10.1080/1369118X.2016.1146319,en,man,Manual,const,NA
