_id,doi,language,method,method2,measurement,validation
1001,10.1080/10584609.2015.1055526,en,man,Manual,const,NA
1002,10.1080/10584609.2015.1055526,en,man,Manual,senti,NA
1003,10.1080/10584609.2015.1055526,en,man,Manual,props,NA
1004,10.1080/10584609.2015.1055526,en,man,Manual,pragm,NA
1005,10.1080/10584609.2015.1107158,en,man,Manual,forma,NA
1006,10.1080/10584609.2015.1107158,en,man,Manual,senti,NA
1007,10.1080/10584609.2015.1107158,en,man,Manual,props,NA
1008,10.1080/10584609.2016.1142489,en,man,Manual,props,NA
1009,10.1080/10584609.2016.1271068,de,man,Manual,thing,NA
1010,10.1080/10584609.2016.1271068,de,man,Manual,attri,NA
1011,10.1080/10584609.2017.1336502,en,man,Manual,pragm,NA
1012,10.1080/10584609.2017.1339221,en,man,Manual,theme,NA
1013,10.1080/10584609.2017.1339222,de,man,Manual,attri,NA
1014,10.1080/10584609.2017.1375581,en,man,Manual,types,NA
1015,10.1080/10584609.2017.1375581,en,man,Manual,theme,NA
1016,10.1080/10584609.2018.1541032,bg,man,Manual,thing,NA
1017,10.1080/10584609.2018.1541032,bg,man,Manual,theme,NA
1018,10.1080/10584609.2018.1541032,bg,man,Manual,props,NA
1019,10.1080/10584609.2020.1765913,tr,man,Manual,thing,NA
1020,10.1080/10584609.2020.1765913,tr,man,Manual,theme,NA
1021,10.1080/10584609.2020.1765913,tr,man,Manual,senti,NA
1022,10.1080/10584609.2020.1784329,de,man,Manual,theme,NA
1023,10.1080/10584609.2020.1784329,de,man,Manual,relas,NA
1024,10.1080/13501763.2016.1253764,en,man,Manual,const,NA
1025,10.1080/13501763.2016.1253764,en,man,Manual,theme,NA
1026,10.1080/13501763.2018.1458890,de,man,Manual,theme,NA
1027,10.1080/13501763.2020.1748096,de,man,Manual,theme,NA
1028,10.1080/13563467.2017.1420641,de,man,Manual,attri,NA
1029,10.1080/13563467.2018.1426562,en,man,Manual,thing,NA
1030,10.1080/1461670X.2014.962927,cn,man,Manual,quali,NA
1031,10.1080/1461670X.2015.1019549,en,man,Manual,thing,NA
1032,10.1080/1461670X.2015.1019549,en,man,Manual,const,NA
1033,10.1080/1461670X.2015.1019549,en,man,Manual,attri,NA
1034,10.1080/1461670X.2015.1040892,de,man,Manual,theme,NA
1035,10.1080/1461670X.2015.1040892,de,man,Manual,quali,NA
1036,10.1080/1461670X.2015.1046995,cz,man,Manual,thing,NA
1037,10.1080/1461670X.2015.1046995,cz,man,Manual,types,NA
1038,10.1080/1461670X.2015.1046995,cz,man,Manual,attri,NA
1039,10.1080/1461670X.2015.1058182,en,man,Manual,theme,NA
1040,10.1080/1461670X.2015.1058182,en,man,Manual,quali,NA
1041,10.1080/1461670X.2015.1058182,en,man,Manual,frame,NA
1042,10.1080/1461670X.2015.1074865,en,man,Manual,thing,NA
1043,10.1080/1461670X.2015.1074865,en,man,Manual,const,NA
